#{"t_start": 1764543148.2612133, "env_id": "dm_control/cartpole-balance-v0"}
r,l,t
325.136658,1000,1.18071
312.721255,1000,1.578798
335.064127,1000,10.005092
361.378532,1000,10.569867
319.680587,1000,27.33133
299.183581,1000,28.04564
379.091769,1000,42.834745
399.439129,1000,43.504452
421.173071,1000,57.428248
380.145913,1000,58.081954
383.362639,1000,90.863073
307.216439,1000,109.267322
335.112542,1000,140.18523
296.599419,1000,157.836209
344.633944,1000,189.141107
449.364587,1000,206.82494
401.614526,1000,239.237773
484.575358,1000,256.059079
561.877622,1000,288.376599
770.976372,1000,306.041249
493.239439,1000,338.127003
513.384959,1000,353.711194
572.247441,1000,369.892875
602.546789,1000,377.968151
639.678167,1000,394.157764
683.423167,1000,402.254133
761.543005,1000,419.008501
827.26403,1000,427.209581
698.454234,1000,443.473832
657.684616,1000,451.821867
646.389954,1000,468.472818
656.582622,1000,476.55223
692.561292,1000,492.640684
590.585477,1000,500.687224
893.765007,1000,517.121253
588.760346,1000,525.246265
785.982833,1000,541.698642
606.980705,1000,549.812064
896.12318,1000,570.143554
738.332078,1000,588.435084
878.907654,1000,626.212928
716.537065,1000,646.516026
943.649133,1000,685.38601
977.455701,1000,705.587943
588.236562,1000,744.051413
987.026392,1000,764.027155
788.682383,1000,802.193458
984.204325,1000,822.556852
982.648667,1000,861.233991
976.498634,1000,881.365093
971.75196,1000,920.376581
958.126746,1000,940.248765
944.23396,1000,978.254271
934.136982,1000,998.249678
875.384755,1000,1037.199874
918.154884,1000,1057.383064
941.033527,1000,1095.410473
942.316485,1000,1115.525999
956.84636,1000,1153.887508
939.274336,1000,1174.141413
914.377393,1000,1212.780949
960.8684,1000,1232.901537
919.306365,1000,1271.716118
907.913437,1000,1291.754892
952.744901,1000,1330.15821
910.189835,1000,1350.164171
977.898551,1000,1388.449426
984.826647,1000,1408.564344
983.896959,1000,1446.747444
985.103988,1000,1466.543216
984.467404,1000,1505.038939
982.809665,1000,1525.311086
979.227319,1000,1563.821906
980.123596,1000,1583.886886
976.881289,1000,1622.633455
978.364679,1000,1642.700492
982.122517,1000,1680.701509
982.698446,1000,1700.69822
982.837825,1000,1739.113255
983.760562,1000,1759.169156
